name,lat,lon,MGRS
"Gloversville, NY, USA",43.052845,-74.363762,18TWN5181466879
"Glens Falls, NY, USA",43.311825,-73.655975,18TXN0899496320
"Geneva, NY, USA",42.868473,-76.99649,18TUN3692048142
"Richmond, VA, USA",37.54129,-77.434769,18STG8489257708
"Fayetteville, AR, USA",36.082157,-94.171852,15SUV9449193696
"Yuma, AZ, USA",32.698437,-114.650398,11SQS2025920297
"Peoria, AZ, USA",33.580944,-112.237068,12SUC8519816379
"Tempe, AZ, USA",33.427204,-111.939896,12SVB1262299043
"Diamond Bar, CA, USA",34.028622,-117.810333,11SMT2519165625
"Auburn, AL, USA",32.609856,-85.480782,16SFB4254709055
"Hoover, AL, USA",33.405746,-86.811546,16SEB1752396285
"Decatur, AL, USA",34.603817,-86.985039,16SED0137129109
"Seward, AK, USA",60.102924,-149.442139,06VUM6422765382
"Bloomington, MN, USA",44.840797,-93.298279,15TVK7642665308
"Utqiagvik, AK, USA",71.290558,-156.788605,04WEE7915511250
"Milledgeville, GA, USA",33.080929,-83.228668,17SKS9197662467
"Fargo, ND, USA",46.877186,-96.789803,14TPS6841393887
"Odessa, TX, USA",31.845682,-102.367645,13RGR4909426351
"Orangeburg, SC, USA",33.493317,-80.855415,17SNT1343005987
"Rogers, AR, USA",36.333412,-94.125809,15SUA9896021517
"DeLand, FL, USA",29.028318,-81.303116,17RMN7048411160
"McAllen, TX, USA",26.203407,-98.230011,14RNP7692698438
"Foster, RI, USA",41.85371,-71.758125,19TBG7104637212
"Mannford, OK, USA",36.133411,-96.354454,14SQF3806001988
"Springfield, OH, USA",39.925751,-83.806694,17SKE6014523288
"Pasadena, TX, USA",29.691063,-95.209099,15RTN8625386595
"Lake Worth, FL, USA",26.616756,-80.068451,17RNK9273744326
"Novi, MI, USA",42.480591,-83.475494,17TKH9652906107
"Rochester, MN, USA",44.016369,-92.475395,15TWJ4204873824
"London, KY, USA",37.129986,-84.084122,16SGG5903113272
"Sturgis, South Dakota, USA",44.409706,-103.509079,13TFK1870718460
"Mandeville, LA, USA",30.358252,-90.065628,15RYP8205262135
"Mt Sterling, KY, USA",38.056469,-83.943253,17SKC4176116171
"Santa Clarita, CA, USA",34.391663,-118.542587,11SLU5819606662
"Overland Park, KS, USA",38.984764,-94.677658,15SUD5469316424
"St Cloud, MN, USA",45.56023,-94.172852,15TVL0846645856
"Monterey Park, CA, USA",34.062511,-118.122849,11SLT9638069655
"Sanford, NC, USA",35.479961,-79.18058,17SPV6505827792
"Sanford, FL, USA",28.807674,-81.274948,17RMM7317086708
"Juneau, AK, USA",58.305801,-134.433304,08VNK3321062896
"Albany, OR, USA",44.636513,-123.105927,10TDQ9159842578
"Santee, CA, USA",32.838383,-116.973915,11SNS0244133370
"Bay Point, CA, USA",38.033878,-121.960709,10SEH9120610083
"Longmont, CO, USA",40.167206,-105.101929,13TDE9132046320
"Issaquah, WA, USA",47.530102,-122.032616,10TET7281564528
"Akron, OH, USA",41.081757,-81.511452,17TMF5703947958
"Hammond, IN, USA",41.58466,-87.50016,16TDM5830903783
"Youngstown, OH, USA",41.10297,-80.647247,17TNF2962050247
